,name,description,id,category
0,Tokyo Super Hits!,日本のポップシーンを彩る最新ベスト50。毎週月曜日更新。Cover: Ado,37i9dQZF1DXafb0IuPwJyF,toplists
1,Hot Hits Japan,世界中のトレンドと日本の最新ヒット曲をまとめてお届けします。Cover: マカロニえんぴつ,37i9dQZF1DXayDMsJG9ZBv,toplists
2,Today's Top Hits,Gunna is on top of the Hottest 50!,37i9dQZF1DXcBWIGoYBM5M,toplists
3,Top 50 - Global,Your daily update of the most played tracks right now - Global.,37i9dQZEVXbMDoHDwVN2tF,toplists
4,Viral 50 - Global,Your daily update of the most viral tracks right now - Global.,37i9dQZEVXbLiRSasKsNU9,toplists
5,New Music Friday,"New music from The Chainsmokers, Charli XCX. Rex Orange County, Lauv, and more! ",37i9dQZF1DX4JAvHpjipBk,toplists
6,Top 50 - Japan,Your daily update of the most played tracks right now - Japan.,37i9dQZEVXbKXQ4mDTEBXq,toplists
7,Viral 50 - Japan,Your daily update of the most viral tracks right now - Japan.,37i9dQZEVXbINTEnbFeb8d,toplists
8,New Music Wednesday,"Ado、緑黄色社会、¥ellow Bucks & more! 今週も話題の新曲を最速で。
Cover: サカナクション *SPICE記事は<a href=""https://spice.eplus.jp/articles/298174"">こちら</a>",37i9dQZF1DWYBDycFJuxRt,toplists
9,RADAR: Early Noise 2022,"Spotifyが注目するニューカマー・プレイリスト, ""RADAR: Early Noise 2022"" 発表！Cover: 菅原圭",37i9dQZF1DX4OR8pnFkwhR,radar
10,This Is ao,"「RADAR: Early Noise 2022」選出アーティスト、 aoの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, ao.",37i9dQZF1DWXYab58pSDyP,radar
11,This Is 秋山璃月,"「RADAR: Early Noise 2022」選出アーティスト、 秋山璃月の楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, 秋山璃月.",37i9dQZF1DWZ6jZsHpzy7P,radar
12,This Is ego apartment,"「RADAR: Early Noise 2022」選出アーティスト、 ego apartmentの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, ego apartment.",37i9dQZF1DX6NWezdjDtqd,radar
13,This Is CVLTE,"「RADAR: Early Noise 2022」選出アーティスト、 CVLTEの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, CVLTE.",37i9dQZF1DX0ZUQMxsSBPK,radar
14,This Is 菅原圭,"「RADAR: Early Noise 2022」選出アーティスト、菅原圭の楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, 菅原圭.",37i9dQZF1DWZUGUZlhR6rs,radar
15,This Is tonun,"「RADAR: Early Noise 2022」選出アーティスト、 tonunの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, tonun.",37i9dQZF1DX1d6t19Ayi9w,radar
16,This Is Bialystocks,"「RADAR: Early Noise 2022」選出アーティスト、 Bialystocksの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, Bialystocks.",37i9dQZF1DWXQWQvcd51Bk,radar
17,This Is Bleecker Chrome,"「RADAR: Early Noise 2022」選出アーティスト、Bleecker Chromeの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, Bleecker Chrome.",37i9dQZF1DX1Mi9fZNJWnO,radar
18,This Is Penthouse,"「RADAR: Early Noise 2022」選出アーティスト、Penthouseの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, Penthouse.",37i9dQZF1DX73K2yTGRnvX,radar
19,This Is WurtS,"「RADAR: Early Noise 2022」選出アーティスト、 WurtSの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, WurtS.",37i9dQZF1DXbuJ27vv10SM,radar
