,0
0,toplists Tokyo Super Hits! 日本のポップシーンを彩る最新ベスト50。毎週月曜日更新。Cover: Ado
1,toplists Hot Hits Japan 世界中のトレンドと日本の最新ヒット曲をまとめてお届けします。Cover: マカロニえんぴつ
2,toplists Today's Top Hits Gunna is on top of the Hottest 50!
3,toplists Top 50 - Global Your daily update of the most played tracks right now - Global.
4,toplists Viral 50 - Global Your daily update of the most viral tracks right now - Global.
5,"toplists New Music Friday New music from The Chainsmokers, Charli XCX. Rex Orange County, Lauv, and more! "
6,toplists Top 50 - Japan Your daily update of the most played tracks right now - Japan.
7,toplists Viral 50 - Japan Your daily update of the most viral tracks right now - Japan.
8,"toplists New Music Wednesday Ado、緑黄色社会、¥ellow Bucks & more! 今週も話題の新曲を最速で。
Cover: サカナクション *SPICE記事は<a href=""https://spice.eplus.jp/articles/298174"">こちら</a>"
9,"radar RADAR: Early Noise 2022 Spotifyが注目するニューカマー・プレイリスト, ""RADAR: Early Noise 2022"" 発表！Cover: 菅原圭"
10,"radar This Is ao 「RADAR: Early Noise 2022」選出アーティスト、 aoの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, ao."
11,"radar This Is 秋山璃月 「RADAR: Early Noise 2022」選出アーティスト、 秋山璃月の楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, 秋山璃月."
12,"radar This Is ego apartment 「RADAR: Early Noise 2022」選出アーティスト、 ego apartmentの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, ego apartment."
13,"radar This Is CVLTE 「RADAR: Early Noise 2022」選出アーティスト、 CVLTEの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, CVLTE."
14,"radar This Is 菅原圭 「RADAR: Early Noise 2022」選出アーティスト、菅原圭の楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, 菅原圭."
15,"radar This Is tonun 「RADAR: Early Noise 2022」選出アーティスト、 tonunの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, tonun."
16,"radar This Is Bialystocks 「RADAR: Early Noise 2022」選出アーティスト、 Bialystocksの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, Bialystocks."
17,"radar This Is Bleecker Chrome 「RADAR: Early Noise 2022」選出アーティスト、Bleecker Chromeの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, Bleecker Chrome."
18,"radar This Is Penthouse 「RADAR: Early Noise 2022」選出アーティスト、Penthouseの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, Penthouse."
19,"radar This Is WurtS 「RADAR: Early Noise 2022」選出アーティスト、 WurtSの楽曲を1つのプレイリストで。All the essentials from ""RADAR: Early Noise 2022"" artist, WurtS."
20,"radar RADAR US - Artists to Watch All the new artists and songs to watch in 2022, handpicked by our curators. Featuring Montell Fish on the cover."
21,radar RADAR Korea Unearthing up-and-coming Korean acts. Cover: Billlie
22,radar RADAR Indonesia Deretan musisi dalam negeri yang patut diantisipasi. Cover: Suara Kayu
23,radar RADAR AU & NZ New music from artists who are on our RADAR. Featuring Baker Boy
